"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"07/06/2012","BRACKVOAN, BRUFF","","Limerick","€395,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/06/2012","Drinagh, Knocklong","","Limerick","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/06/2012","12 Friarstown Close, Ballycummin Village, Raheen","","Limerick","€245,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/06/2012","15 Lansdowne Hall, O'Callaghan Strand, Limerick","","Limerick","€107,500.00","No","Second-Hand Dwelling house /Apartment",""
"08/06/2012","3 Little O'Curry St, Limerick","","Limerick","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/06/2012","36 Grianan, Westbury, Corbally","","Limerick","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/06/2012","54 Shelbourne Park, Shelbourne Road, Ennis Road","","Limerick","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/06/2012","Biddyford, Lisnagry","","Limerick","€158,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/06/2012","23 Cluain Arra, Newcastle West","","Limerick","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/06/2012","9 Woodview Terrace, Foynes","","Limerick","€55,500.00","No","Second-Hand Dwelling house /Apartment",""
"12/06/2012","Cratloe West, Abbeyfeale, Co. Limerick","","Limerick","€21,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"12/06/2012","Croagh Commons, Croagh","","Limerick","€80,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"13/06/2012","100 RICHMOND COURT, MOUNT KENNETH, DOCK ROAD","","Limerick","€36,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/06/2012","Garrouse, Bruree","","Limerick","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/06/2012","Inis Saimer, School House Road, Lisnagry","","Limerick","€260,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/06/2012","1 Churchill Meadows, Raheen, Limerick","","Limerick","€347,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/06/2012","24 Garadenfield, Bruree","","Limerick","€156,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/06/2012","Portauns, Kilmallock","","Limerick","€210,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/06/2012","8 HILLSIDE, KNOCK, ENNIS ROAD","","Limerick","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/06/2012","Ballyloughlin, Glin","","Limerick","€44,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/06/2012","Ballyloughlin, Glin","","Limerick","€20,000.00","No","Second-Hand Dwelling house /Apartment",""
